CONSIGNEE_NAME,SHIPPER_NAME,TARIFF_CODE,GROSS_WEIGHT_KG,ITEM_VALUE_USD,PORT_OF_LOADING,ARRIVAL_DATE
YETI CUSTOM DOMESTIC ,BYD Auto,8542.31,19768.41,1431702.27,Rotterdam,2025-03-29
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,8517.12,45700.02,1319191.79,Shenzhen,2025-08-25
APPLE OPERATIONS INTL LTD,BYD Auto,8703.80,9842.43,244233.69,Shanghai,2025-08-24
Apple Inc. INC,LG Chem,8703.80,6448.33,1593340.61,Ho Chi Minh,2025-05-12
Tesla Motors ,Shenzhen Plastics Co,6404.11,43199.89,868162.62,Long Beach,2025-05-05
Yeti Coolers LLC LTD,Pou Chen Corp,6404.11,15628.92,1550395.78,Shanghai,2025-09-19
Yeti Coolers LLC LTD,TSMC,8542.31,49807.31,1449385.15,Shanghai,2025-12-06
YETI CUSTOM DOMESTIC CORP,TSMC,8517.12,33144.28,1932653.62,Long Beach,2026-02-19
Nike Inc. ,TSMC,6404.11,3092.52,1158246.48,Rotterdam,2026-01-15
Yeti Coolers LLC ,Pou Chen Corp,8703.80,35560.38,1079986.49,Shanghai,2025-12-26
Yeti Coolers LLC ,TSMC,6404.11,36318.23,1628470.22,Los Angeles,2025-05-20
NIKE USA CORP,TSMC,6404.11,34682.19,1145228.8,Long Beach,2025-07-24
APPLE OPERATIONS INTL INC,Pou Chen Corp,8703.80,35873.76,560602.7,Ho Chi Minh,2026-01-05
Apple Inc. ,Foxconn Technology,8703.80,13123.32,1199240.05,Rotterdam,2025-10-08
Yeti Coolers LLC ,Vietnam Manuf Group,6404.11,18103.9,354753.59,Shenzhen,2025-06-07
Tesla Motors ,Foxconn Technology,8517.12,13142.74,992243.69,Ho Chi Minh,2025-08-16
APPLE OPERATIONS INTL ,BYD Auto,3923.10,23189.28,531222.13,Los Angeles,2025-04-01
Tesla Motors CORP,LG Chem,8517.12,47848.81,1567624.49,Shenzhen,2025-11-29
Tesla Motors ,TSMC,6404.11,10148.99,1802567.62,Los Angeles,2025-05-04
NIKE USA CORP,LG Chem,6404.11,47278.02,169352.41,Los Angeles,2025-06-30
YETI CUSTOM DOMESTIC ,Pou Chen Corp,3923.10,49978.91,1536965.81,Shanghai,2026-01-22
NIKE USA LTD,Shenzhen Plastics Co,8517.12,25965.01,1236505.59,Shenzhen,2025-10-09
NIKE USA CORP,LG Chem,3923.10,12643.35,1009622.85,Los Angeles,2025-10-03
Yeti Coolers LLC LTD,BYD Auto,3923.10,16578.42,1669676.44,Shanghai,2026-01-01
Samsung Electronics LTD,Vietnam Manuf Group,8517.12,38659.97,415848.99,Rotterdam,2026-02-21
Tesla Motors INC,Vietnam Manuf Group,8542.31,20620.94,1599601.91,Shanghai,2026-03-15
Samsung Electronics ,Pou Chen Corp,8703.80,21826.95,358054.5,Rotterdam,2026-01-20
YETI CUSTOM DOMESTIC LTD,BYD Auto,6404.11,34543.25,205407.66,Long Beach,2025-11-06
Samsung Electronics LTD,Shenzhen Plastics Co,8517.12,26027.7,1964243.51,Los Angeles,2025-03-31
APPLE OPERATIONS INTL CORP,Pou Chen Corp,8542.31,38348.46,1526495.02,Shenzhen,2025-05-06
Apple Inc. CORP,Pou Chen Corp,8542.31,29183.2,1279810.57,Shenzhen,2025-05-15
NIKE USA CORP,Shenzhen Plastics Co,3923.10,30906.74,1579412.28,Ho Chi Minh,2025-03-20
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,3923.10,34781.72,322802.72,Shenzhen,2026-02-13
YETI CUSTOM DOMESTIC LTD,BYD Auto,3923.10,17820.94,1894022.01,Long Beach,2025-03-19
APPLE OPERATIONS INTL CORP,Pou Chen Corp,6404.11,40861.82,1230221.6,Rotterdam,2026-01-17
Apple Inc. ,LG Chem,8542.31,47898.16,709772.98,Long Beach,2025-08-10
Nike Inc. LTD,TSMC,8542.31,3436.21,454347.12,Shanghai,2025-05-28
Apple Inc. LTD,TSMC,3923.10,18658.2,1748528.62,Shanghai,2025-10-17
Nike Inc. CORP,Foxconn Technology,8703.80,17478.73,249165.8,Ho Chi Minh,2025-11-17
Apple Inc. LTD,BYD Auto,8703.80,8615.5,109873.26,Ho Chi Minh,2025-05-26
NIKE USA ,Vietnam Manuf Group,8703.80,31058.71,1030252.32,Long Beach,2025-10-05
Tesla Motors INC,Shenzhen Plastics Co,8517.12,37526.61,705888.42,Los Angeles,2025-07-07
Samsung Electronics ,BYD Auto,6404.11,42196.61,1761417.7,Shanghai,2025-05-27
Yeti Coolers LLC CORP,TSMC,8517.12,27626.46,334686.65,Ho Chi Minh,2025-07-04
Nike Inc. LTD,Vietnam Manuf Group,8703.80,38873.16,1894262.77,Los Angeles,2026-02-04
NIKE USA CORP,Pou Chen Corp,8703.80,15053.97,101975.54,Long Beach,2025-06-02
Apple Inc. LTD,Pou Chen Corp,8517.12,24838.45,1704989.64,Shenzhen,2025-09-18
Tesla Motors CORP,TSMC,8542.31,33144.7,581983.66,Shenzhen,2025-04-24
YETI CUSTOM DOMESTIC ,Foxconn Technology,8517.12,27727.42,1379945.51,Rotterdam,2025-08-01
NIKE USA LTD,Foxconn Technology,6404.11,32787.13,994304.56,Rotterdam,2026-02-20
Samsung Electronics ,TSMC,6404.11,33522.08,712347.84,Los Angeles,2025-11-04
Nike Inc. ,Vietnam Manuf Group,8703.80,20888.11,1046488.42,Shenzhen,2025-12-17
Tesla Motors LTD,TSMC,6404.11,6683.54,1434466.7,Los Angeles,2025-10-23
Yeti Coolers LLC ,BYD Auto,8703.80,31259.97,877123.72,Shanghai,2025-06-30
Nike Inc. INC,Pou Chen Corp,6404.11,47771.49,1874587.99,Rotterdam,2025-08-10
Yeti Coolers LLC ,LG Chem,8703.80,19052.6,1382920.51,Shanghai,2025-08-20
YETI CUSTOM DOMESTIC ,Foxconn Technology,8542.31,39878.02,781829.5,Long Beach,2025-06-20
Tesla Motors INC,Foxconn Technology,8703.80,22967.89,1776369.57,Los Angeles,2025-09-22
Nike Inc. ,BYD Auto,8542.31,33121.56,540484.03,Los Angeles,2026-02-24
Nike Inc. LTD,TSMC,8517.12,2478.37,1479345.88,Los Angeles,2026-03-15
NIKE USA CORP,Pou Chen Corp,3923.10,2818.48,837606.36,Ho Chi Minh,2025-09-10
Yeti Coolers LLC ,LG Chem,8542.31,46182.01,1228707.66,Los Angeles,2025-08-18
Nike Inc. ,LG Chem,8542.31,32263.52,43058.16,Ho Chi Minh,2025-06-10
APPLE OPERATIONS INTL LTD,TSMC,8703.80,28416.04,840594.63,Long Beach,2026-02-24
Nike Inc. INC,TSMC,6404.11,18818.14,512442.97,Rotterdam,2025-04-09
Apple Inc. INC,Pou Chen Corp,8517.12,20001.74,539876.08,Ho Chi Minh,2025-05-02
APPLE OPERATIONS INTL LTD,LG Chem,8517.12,6990.06,1499322.06,Long Beach,2026-03-14
Samsung Electronics ,BYD Auto,6404.11,27855.97,160275.54,Rotterdam,2025-09-13
Samsung Electronics ,Vietnam Manuf Group,8542.31,26882.65,658038.75,Rotterdam,2025-12-21
YETI CUSTOM DOMESTIC INC,Pou Chen Corp,8517.12,48670.56,1564431.36,Shanghai,2026-01-26
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8703.80,39311.02,446140.6,Shenzhen,2025-04-22
Samsung Electronics INC,Foxconn Technology,8703.80,23751.37,1719238.58,Rotterdam,2026-01-13
Apple Inc. CORP,Foxconn Technology,6404.11,15975.74,1231241.44,Long Beach,2025-05-02
Samsung Electronics ,Shenzhen Plastics Co,8703.80,1345.15,751282.87,Ho Chi Minh,2026-03-07
Nike Inc. LTD,Foxconn Technology,3923.10,7829.77,1466986.87,Long Beach,2025-10-01
YETI CUSTOM DOMESTIC ,Pou Chen Corp,6404.11,26100.55,1114417.47,Shanghai,2025-05-23
YETI CUSTOM DOMESTIC CORP,Vietnam Manuf Group,8703.80,31874.86,1750619.28,Shenzhen,2025-03-31
Tesla Motors CORP,BYD Auto,3923.10,8733.6,946950.98,Los Angeles,2025-10-23
Apple Inc. LTD,Shenzhen Plastics Co,3923.10,41081.93,1030379.1,Shanghai,2025-09-09
APPLE OPERATIONS INTL INC,TSMC,3923.10,17942.33,910008.44,Shenzhen,2025-07-20
Tesla Motors CORP,Foxconn Technology,3923.10,14869.87,1272688.84,Rotterdam,2026-02-08
Samsung Electronics INC,BYD Auto,6404.11,6269.18,396262.03,Long Beach,2025-07-29
Tesla Motors CORP,Pou Chen Corp,8542.31,23402.09,584972.32,Shenzhen,2025-09-02
Tesla Motors ,LG Chem,8517.12,49687.61,459834.26,Long Beach,2025-12-04
Yeti Coolers LLC ,TSMC,8517.12,20777.46,246234.01,Rotterdam,2025-06-05
YETI CUSTOM DOMESTIC LTD,Pou Chen Corp,6404.11,25528.93,1048544.8,Long Beach,2025-03-30
Yeti Coolers LLC INC,Pou Chen Corp,3923.10,1242.56,1930667.5,Ho Chi Minh,2025-09-06
Nike Inc. INC,Pou Chen Corp,8703.80,27309.87,1971692.26,Shanghai,2025-06-17
Samsung Electronics ,TSMC,8517.12,33453.15,121815.92,Rotterdam,2025-12-19
Yeti Coolers LLC LTD,TSMC,8703.80,18100.62,491616.7,Shanghai,2025-03-24
Samsung Electronics INC,BYD Auto,8703.80,5229.33,525374.86,Shenzhen,2026-03-06
NIKE USA ,Vietnam Manuf Group,6404.11,36573.19,1571986.56,Shanghai,2025-07-20
Apple Inc. INC,Foxconn Technology,3923.10,8058.44,1447037.59,Los Angeles,2025-10-19
Samsung Electronics ,BYD Auto,8542.31,17080.53,663815.09,Long Beach,2026-03-02
Nike Inc. INC,Pou Chen Corp,8542.31,24291.97,1434923.67,Los Angeles,2025-12-23
NIKE USA CORP,Vietnam Manuf Group,3923.10,35894.39,113464.57,Los Angeles,2025-11-29
NIKE USA CORP,TSMC,8703.80,44255.43,1964956.07,Shenzhen,2025-07-10
Apple Inc. CORP,LG Chem,3923.10,17073.42,1537017.94,Long Beach,2025-11-28
APPLE OPERATIONS INTL ,LG Chem,8517.12,34799.65,1558061.91,Ho Chi Minh,2025-09-21
Yeti Coolers LLC ,Vietnam Manuf Group,8517.12,17043.71,922467.61,Rotterdam,2026-02-12
Tesla Motors INC,Foxconn Technology,8517.12,28910.61,1176695.29,Shanghai,2026-02-27
Samsung Electronics LTD,Vietnam Manuf Group,8542.31,17650.9,105448.56,Shenzhen,2026-02-08
Yeti Coolers LLC CORP,Shenzhen Plastics Co,8542.31,14705.69,1664973.62,Long Beach,2025-09-17
Apple Inc. ,Vietnam Manuf Group,8542.31,39184.54,1447786.64,Los Angeles,2026-01-01
NIKE USA INC,TSMC,8703.80,24540.72,1879355.45,Long Beach,2025-12-23
Apple Inc. LTD,TSMC,8517.12,27254.75,502756.27,Shanghai,2026-01-26
Yeti Coolers LLC INC,Shenzhen Plastics Co,8542.31,49581.14,1200888.72,Rotterdam,2026-02-26
Yeti Coolers LLC ,LG Chem,3923.10,18124.49,661577.44,Shanghai,2025-11-16
YETI CUSTOM DOMESTIC INC,TSMC,8703.80,27977.41,1046626.19,Ho Chi Minh,2025-11-19
Apple Inc. INC,Vietnam Manuf Group,3923.10,34044.96,1085047.75,Los Angeles,2025-04-12
YETI CUSTOM DOMESTIC INC,Foxconn Technology,3923.10,40356.62,1650403.79,Ho Chi Minh,2025-04-19
Samsung Electronics ,Vietnam Manuf Group,8517.12,31354.34,1345260.15,Shanghai,2026-02-02
NIKE USA LTD,LG Chem,6404.11,36667.92,1958496.09,Shanghai,2025-05-05
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,3923.10,42702.25,218060.17,Long Beach,2025-11-21
Samsung Electronics ,Shenzhen Plastics Co,8542.31,48109.96,1981577.18,Shanghai,2026-01-26
Nike Inc. LTD,Foxconn Technology,8542.31,31361.87,433853.5,Shanghai,2025-03-19
Tesla Motors INC,Vietnam Manuf Group,8542.31,3991.87,1493174.57,Los Angeles,2025-10-13
APPLE OPERATIONS INTL LTD,Pou Chen Corp,3923.10,32205.96,1491370.26,Rotterdam,2025-11-07
Apple Inc. INC,TSMC,3923.10,5705.31,1772953.51,Shanghai,2025-11-28
APPLE OPERATIONS INTL CORP,Foxconn Technology,6404.11,28189.84,93660.89,Shanghai,2026-01-25
NIKE USA CORP,Pou Chen Corp,6404.11,6328.92,891003.94,Shanghai,2025-10-31
YETI CUSTOM DOMESTIC ,Pou Chen Corp,3923.10,41593.92,1395357.72,Rotterdam,2025-07-28
NIKE USA LTD,Shenzhen Plastics Co,6404.11,19179.18,131613.46,Shenzhen,2025-06-09
Samsung Electronics INC,LG Chem,8517.12,28279.74,914969.91,Shanghai,2025-09-14
YETI CUSTOM DOMESTIC INC,TSMC,6404.11,7057.76,406639.29,Los Angeles,2025-08-04
Nike Inc. CORP,Pou Chen Corp,3923.10,40846.26,982956.87,Los Angeles,2025-06-19
Tesla Motors LTD,Vietnam Manuf Group,3923.10,33631.18,489466.6,Long Beach,2025-12-25
YETI CUSTOM DOMESTIC INC,Shenzhen Plastics Co,3923.10,36130.66,536815.53,Rotterdam,2026-02-22
Samsung Electronics INC,BYD Auto,6404.11,20058.08,693812.73,Shanghai,2025-04-21
Yeti Coolers LLC INC,Vietnam Manuf Group,8517.12,2491.77,44503.42,Ho Chi Minh,2026-03-07
NIKE USA ,TSMC,8703.80,17767.41,687852.89,Los Angeles,2025-10-10
Samsung Electronics LTD,Shenzhen Plastics Co,3923.10,12782.07,1429552.25,Los Angeles,2026-03-05
Tesla Motors CORP,Vietnam Manuf Group,8703.80,36112.24,1024318.82,Rotterdam,2025-07-20
Tesla Motors ,Vietnam Manuf Group,3923.10,21144.81,644878.62,Shenzhen,2025-05-19
Nike Inc. LTD,Pou Chen Corp,3923.10,6690.14,13237.82,Rotterdam,2025-05-03
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,8703.80,48579.72,758200.55,Long Beach,2025-11-07
YETI CUSTOM DOMESTIC CORP,LG Chem,8542.31,20611.15,1991265.86,Long Beach,2025-09-16
APPLE OPERATIONS INTL CORP,BYD Auto,8542.31,20464.78,243023.14,Ho Chi Minh,2025-04-23
Tesla Motors ,LG Chem,3923.10,15903.95,144891.2,Ho Chi Minh,2025-05-14
Tesla Motors ,BYD Auto,3923.10,42574.57,348769.27,Shanghai,2025-03-16
Yeti Coolers LLC LTD,TSMC,8542.31,33210.71,704916.3,Ho Chi Minh,2026-02-10
Nike Inc. LTD,BYD Auto,3923.10,12717.5,330864.48,Rotterdam,2025-12-14
APPLE OPERATIONS INTL LTD,Pou Chen Corp,6404.11,19834.62,509998.31,Rotterdam,2025-10-28
YETI CUSTOM DOMESTIC INC,Vietnam Manuf Group,3923.10,1554.81,1159798.57,Rotterdam,2025-07-17
Samsung Electronics LTD,LG Chem,8517.12,46432.83,924572.72,Ho Chi Minh,2025-08-20
Apple Inc. CORP,Vietnam Manuf Group,6404.11,36258.9,1467903.36,Shenzhen,2025-06-21
Yeti Coolers LLC ,Pou Chen Corp,3923.10,31253.1,1151878.37,Shanghai,2026-02-01
Yeti Coolers LLC CORP,BYD Auto,8542.31,25892.27,1183857.84,Shenzhen,2025-09-17
APPLE OPERATIONS INTL ,BYD Auto,3923.10,2902.86,42969.19,Los Angeles,2025-06-17
Apple Inc. LTD,Shenzhen Plastics Co,3923.10,27651.65,866459.3,Shenzhen,2025-11-20
Tesla Motors INC,Shenzhen Plastics Co,8542.31,29729.08,254261.71,Long Beach,2025-08-04
YETI CUSTOM DOMESTIC LTD,Shenzhen Plastics Co,8542.31,2653.88,1108812.5,Rotterdam,2025-12-10
NIKE USA CORP,Pou Chen Corp,8703.80,11314.16,1500089.26,Rotterdam,2025-04-25
Nike Inc. INC,Shenzhen Plastics Co,6404.11,36922.91,468578.98,Los Angeles,2025-03-27
YETI CUSTOM DOMESTIC CORP,Vietnam Manuf Group,3923.10,4672.83,1342185.67,Ho Chi Minh,2025-05-05
APPLE OPERATIONS INTL ,BYD Auto,3923.10,20156.49,252798.93,Shanghai,2026-01-05
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,8542.31,26295.49,1560622.74,Ho Chi Minh,2025-04-10
Nike Inc. LTD,TSMC,8517.12,18026.3,1192481.44,Shenzhen,2025-11-30
Yeti Coolers LLC CORP,BYD Auto,3923.10,45430.94,1420427.24,Los Angeles,2025-03-30
APPLE OPERATIONS INTL INC,Pou Chen Corp,8703.80,15953.98,263920.38,Los Angeles,2025-05-28
Tesla Motors INC,BYD Auto,8542.31,47044.69,856688.25,Long Beach,2026-01-07
Tesla Motors LTD,Foxconn Technology,6404.11,3561.94,673761.4,Shanghai,2025-03-20
YETI CUSTOM DOMESTIC ,LG Chem,8703.80,5376.5,1911431.32,Shenzhen,2026-03-08
YETI CUSTOM DOMESTIC INC,LG Chem,6404.11,44446.19,1644975.25,Shenzhen,2025-04-21
Samsung Electronics INC,TSMC,3923.10,25448.21,1989238.13,Long Beach,2025-03-28
NIKE USA LTD,Foxconn Technology,6404.11,48200.35,1807537.9,Rotterdam,2026-01-29
NIKE USA ,BYD Auto,3923.10,12735.39,1066245.26,Shenzhen,2025-04-22
Yeti Coolers LLC CORP,LG Chem,8517.12,43793.91,177767.37,Long Beach,2025-04-26
NIKE USA LTD,Foxconn Technology,8703.80,20957.21,1669834.97,Los Angeles,2025-06-29
NIKE USA LTD,LG Chem,8517.12,28118.07,617466.7,Rotterdam,2025-04-13
APPLE OPERATIONS INTL LTD,BYD Auto,8703.80,16064.63,964327.22,Shenzhen,2025-11-14
Samsung Electronics LTD,BYD Auto,8517.12,22610.79,120849.91,Long Beach,2025-09-18
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,8517.12,11613.94,1286637.76,Rotterdam,2025-11-14
Apple Inc. LTD,BYD Auto,3923.10,20092.9,887192.54,Shenzhen,2026-03-10
YETI CUSTOM DOMESTIC INC,Shenzhen Plastics Co,8703.80,17620.39,20629.48,Shenzhen,2025-07-31
Apple Inc. INC,Vietnam Manuf Group,8703.80,32854.21,1467587.82,Shenzhen,2025-09-06
Yeti Coolers LLC INC,Pou Chen Corp,8703.80,31268.27,962764.05,Long Beach,2025-04-09
Apple Inc. ,Vietnam Manuf Group,8517.12,21585.31,1804597.3,Rotterdam,2025-03-16
APPLE OPERATIONS INTL INC,LG Chem,3923.10,34103.03,1465013.73,Shanghai,2025-04-01
Tesla Motors ,LG Chem,6404.11,6550.39,1470153.93,Shanghai,2026-02-27
NIKE USA INC,Vietnam Manuf Group,8517.12,41505.12,400902.27,Rotterdam,2025-12-18
Nike Inc. INC,BYD Auto,8703.80,31770.87,1778440.03,Ho Chi Minh,2026-01-02
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8517.12,47068.77,1394076.68,Shenzhen,2025-08-31
Yeti Coolers LLC INC,LG Chem,6404.11,13652.98,396427.52,Long Beach,2025-09-16
Samsung Electronics CORP,LG Chem,8703.80,45562.7,1658544.36,Rotterdam,2025-12-06
YETI CUSTOM DOMESTIC LTD,BYD Auto,8703.80,24572.0,1662050.56,Shanghai,2025-03-25
APPLE OPERATIONS INTL CORP,Foxconn Technology,3923.10,3703.44,1977276.11,Long Beach,2025-04-06
YETI CUSTOM DOMESTIC INC,LG Chem,8703.80,36700.86,753445.98,Los Angeles,2026-01-05
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,6404.11,28401.66,503947.37,Shanghai,2025-09-07
Yeti Coolers LLC LTD,TSMC,8517.12,42765.52,1867095.47,Ho Chi Minh,2026-03-15
Yeti Coolers LLC LTD,Pou Chen Corp,8517.12,17880.26,1279907.16,Shenzhen,2025-07-21
Apple Inc. LTD,LG Chem,8703.80,14824.18,1454123.08,Shenzhen,2025-10-15
Yeti Coolers LLC INC,Foxconn Technology,3923.10,3742.36,310211.19,Long Beach,2026-02-03
Samsung Electronics INC,Pou Chen Corp,6404.11,20504.62,328980.63,Shenzhen,2025-06-11
YETI CUSTOM DOMESTIC INC,BYD Auto,3923.10,30179.56,503700.49,Shanghai,2025-04-30
APPLE OPERATIONS INTL LTD,Vietnam Manuf Group,6404.11,34724.8,1980112.71,Los Angeles,2026-01-10
Nike Inc. INC,Pou Chen Corp,8703.80,10525.04,1859138.8,Los Angeles,2025-09-25
Tesla Motors LTD,Vietnam Manuf Group,8703.80,28896.05,1095726.57,Ho Chi Minh,2025-09-09
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,8517.12,5416.01,223130.63,Ho Chi Minh,2025-12-13
Yeti Coolers LLC ,Vietnam Manuf Group,6404.11,5706.73,1725537.53,Rotterdam,2025-11-10
Apple Inc. CORP,TSMC,8703.80,45198.13,1069515.97,Rotterdam,2025-10-19
YETI CUSTOM DOMESTIC ,LG Chem,8703.80,4579.67,788858.89,Los Angeles,2025-04-20
APPLE OPERATIONS INTL CORP,BYD Auto,8542.31,37889.49,1850868.82,Long Beach,2026-01-19
Yeti Coolers LLC CORP,Pou Chen Corp,8542.31,47397.57,470252.57,Long Beach,2025-09-05
Nike Inc. ,LG Chem,8703.80,7301.59,1860768.68,Shanghai,2025-12-20
Samsung Electronics CORP,Pou Chen Corp,8517.12,7434.94,795553.35,Shenzhen,2025-09-09
Yeti Coolers LLC CORP,TSMC,6404.11,1874.69,1072263.75,Rotterdam,2025-07-04
YETI CUSTOM DOMESTIC INC,Shenzhen Plastics Co,3923.10,20482.67,211613.49,Ho Chi Minh,2025-09-10
NIKE USA LTD,TSMC,8542.31,32366.89,1532691.62,Los Angeles,2026-02-04
YETI CUSTOM DOMESTIC CORP,BYD Auto,8542.31,32700.69,768805.67,Ho Chi Minh,2025-05-31
YETI CUSTOM DOMESTIC LTD,LG Chem,8517.12,29597.07,1054860.71,Shanghai,2025-08-04
Apple Inc. CORP,LG Chem,8703.80,25187.17,367346.72,Long Beach,2025-09-17
Apple Inc. CORP,BYD Auto,8542.31,15182.46,1715462.02,Shenzhen,2025-11-06
NIKE USA CORP,Pou Chen Corp,8542.31,17252.88,736471.29,Shanghai,2025-09-29
Nike Inc. LTD,Pou Chen Corp,8517.12,38724.4,587449.48,Ho Chi Minh,2026-03-10
Yeti Coolers LLC LTD,Shenzhen Plastics Co,3923.10,9272.07,889600.19,Rotterdam,2025-12-01
YETI CUSTOM DOMESTIC ,TSMC,8703.80,40807.05,543367.0,Los Angeles,2025-12-07
Tesla Motors ,TSMC,8703.80,5222.9,11772.79,Shenzhen,2025-08-20
NIKE USA INC,Pou Chen Corp,8517.12,23755.43,1335377.03,Los Angeles,2025-07-13
Apple Inc. CORP,Pou Chen Corp,3923.10,29873.02,1545109.22,Ho Chi Minh,2025-10-06
Yeti Coolers LLC INC,Vietnam Manuf Group,8517.12,3077.56,895987.86,Shanghai,2026-02-09
NIKE USA LTD,LG Chem,8542.31,41397.82,275747.53,Shenzhen,2025-12-09
Tesla Motors INC,TSMC,3923.10,13237.94,441426.53,Rotterdam,2026-01-20
NIKE USA ,Vietnam Manuf Group,3923.10,45682.04,1997499.09,Los Angeles,2025-07-21
Nike Inc. LTD,Foxconn Technology,3923.10,47518.27,269460.3,Rotterdam,2025-05-11
Apple Inc. CORP,Shenzhen Plastics Co,3923.10,11803.93,591812.77,Rotterdam,2025-10-31
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8517.12,48986.12,318265.62,Long Beach,2025-07-21
Samsung Electronics INC,Foxconn Technology,8517.12,31753.88,1392969.72,Rotterdam,2025-07-22
Tesla Motors INC,BYD Auto,8703.80,4186.08,1869273.81,Rotterdam,2026-01-17
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,8517.12,26711.92,1724376.99,Long Beach,2026-02-11
Tesla Motors ,BYD Auto,8542.31,40202.41,142306.6,Long Beach,2025-11-16
Yeti Coolers LLC ,Pou Chen Corp,8517.12,43717.14,1022392.37,Ho Chi Minh,2025-09-27
Yeti Coolers LLC INC,Foxconn Technology,8542.31,16815.72,683906.95,Ho Chi Minh,2026-02-27
NIKE USA LTD,LG Chem,6404.11,9712.11,121078.03,Los Angeles,2025-09-21
Apple Inc. LTD,Pou Chen Corp,6404.11,44577.68,1803565.82,Rotterdam,2026-01-17
Tesla Motors ,Pou Chen Corp,8703.80,27503.28,59460.2,Rotterdam,2025-06-26
Samsung Electronics LTD,Vietnam Manuf Group,8703.80,48864.95,1079491.95,Shenzhen,2025-08-20
APPLE OPERATIONS INTL LTD,Shenzhen Plastics Co,6404.11,16721.87,1220395.69,Los Angeles,2025-03-30
APPLE OPERATIONS INTL INC,Foxconn Technology,8517.12,11799.92,193941.44,Rotterdam,2025-11-08
YETI CUSTOM DOMESTIC CORP,Pou Chen Corp,6404.11,22541.7,1565945.99,Shenzhen,2025-07-17
Yeti Coolers LLC LTD,Foxconn Technology,3923.10,21897.87,1069913.85,Los Angeles,2025-06-23
Tesla Motors CORP,Vietnam Manuf Group,6404.11,2919.95,577621.29,Los Angeles,2026-02-20
Samsung Electronics CORP,TSMC,8703.80,11734.03,214023.31,Ho Chi Minh,2026-02-15
YETI CUSTOM DOMESTIC LTD,Shenzhen Plastics Co,8517.12,23320.09,1010500.71,Ho Chi Minh,2025-12-24
Apple Inc. CORP,Pou Chen Corp,8703.80,4719.85,1921020.06,Shenzhen,2025-05-02
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,8517.12,11092.95,191217.38,Long Beach,2026-02-02
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,8517.12,12583.3,759073.49,Long Beach,2025-12-09
NIKE USA CORP,Pou Chen Corp,8542.31,28807.77,1473321.05,Los Angeles,2025-11-12
Samsung Electronics LTD,TSMC,8517.12,7083.47,1975030.02,Ho Chi Minh,2026-03-12
YETI CUSTOM DOMESTIC INC,BYD Auto,8703.80,48028.27,978793.82,Shanghai,2025-08-18
YETI CUSTOM DOMESTIC CORP,BYD Auto,8703.80,17394.46,1867976.08,Rotterdam,2025-12-18
NIKE USA CORP,Pou Chen Corp,6404.11,4084.31,80363.61,Los Angeles,2025-10-22
Apple Inc. ,TSMC,8517.12,1290.37,1772528.2,Shenzhen,2025-03-27
NIKE USA LTD,Foxconn Technology,8517.12,25405.91,1854688.6,Long Beach,2025-09-02
Nike Inc. LTD,Shenzhen Plastics Co,8542.31,42680.04,601694.68,Los Angeles,2025-04-17
Yeti Coolers LLC INC,Shenzhen Plastics Co,8517.12,36513.71,450573.74,Los Angeles,2025-07-01
Nike Inc. INC,BYD Auto,6404.11,45182.22,1460728.46,Long Beach,2025-08-26
YETI CUSTOM DOMESTIC CORP,Foxconn Technology,8517.12,47776.2,457861.98,Los Angeles,2025-09-20
Tesla Motors ,Shenzhen Plastics Co,6404.11,48926.91,1412856.54,Long Beach,2025-10-30
Nike Inc. INC,Pou Chen Corp,8542.31,20022.46,941465.13,Rotterdam,2025-11-27
Samsung Electronics INC,Shenzhen Plastics Co,6404.11,34323.77,1371050.25,Rotterdam,2025-11-09
Yeti Coolers LLC INC,Vietnam Manuf Group,8703.80,24655.12,1913822.12,Los Angeles,2025-10-21
Nike Inc. LTD,Vietnam Manuf Group,8517.12,10923.33,821121.7,Long Beach,2025-09-18
YETI CUSTOM DOMESTIC ,TSMC,3923.10,1532.88,269974.12,Rotterdam,2025-03-21
Nike Inc. LTD,Pou Chen Corp,3923.10,40899.57,1931489.6,Long Beach,2025-07-29
NIKE USA ,Vietnam Manuf Group,6404.11,7533.35,230958.13,Los Angeles,2025-07-04
APPLE OPERATIONS INTL LTD,Foxconn Technology,8703.80,15478.31,250150.78,Shanghai,2026-03-05
Apple Inc. CORP,TSMC,8517.12,3123.92,1591309.27,Shenzhen,2025-12-22
APPLE OPERATIONS INTL LTD,BYD Auto,8542.31,42426.54,1360406.06,Ho Chi Minh,2026-01-10
Nike Inc. ,LG Chem,3923.10,3567.0,1560178.02,Shanghai,2025-07-08
